id,title,company,platform,location,work_mode,comp_min,comp_max,comp_currency,comp_interval,comp_text,department,team,employment_type,summary,job_function,is_technical,is_chief_of_staff,is_strategy_ops,is_learning_and_development,posted_at,updated_at,first_seen_at,last_seen_at,is_new,url,detail_chunk
7695373,Workforce Planning & Analysis Manager,103644278,greenhouse,"New York, NY",hybrid_or_onsite,,,,,,People,US,,team:US | dept:People | mode:hybrid_or_onsite,people-hr,False,False,True,False,2026-03-09T11:47:10-04:00,2026-03-09T11:47:10-04:00,2026-03-12T20:32:59Z,2026-03-14T13:29:03Z,False,https://job-boards.greenhouse.io/103644278/jobs/7695373,
75aa47df-1360-4fb4-b7ba-abbfc7a5f29b,Staff Data Scientist,15five,lever,"US, Remote",remote,132500.0,170500.0,USD,year,,R&D,Engineering,Full Time,team:Engineering | dept:R&D | mode:remote,engineering,True,False,True,False,2026-03-12T14:59:12Z,2026-03-12T14:59:12Z,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://jobs.lever.co/15five/75aa47df-1360-4fb4-b7ba-abbfc7a5f29b,
2568765,Optical Lab Supervisor,1800contacts,greenhouse,"Salt Lake City, UT ",onsite,,,,,,Lab,"Salt Lake City, UT",,"team:Salt Lake City, UT | dept:Lab | mode:onsite",other,False,False,True,False,2026-03-03T12:57:44-05:00,2026-03-03T12:57:44-05:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/1800contacts/jobs/2568765,
4991092008,Nurse LPN 2ND Shift,1pyra)mid_health&care,greenhouse,"Quakertown, PA",hybrid_or_onsite,,,,,,Nurses,Quakertown Facility,,team:Quakertown Facility | dept:Nurses | mode:hybrid_or_onsite,other,False,False,True,False,2026-03-10T16:56:29-04:00,2026-03-10T16:56:29-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/1pyra)mid_health&care/jobs/4991092008,
5056466008,Outpatient Counselor,1pyra)mid_health&care,greenhouse,"Pittsburgh, PA",hybrid_or_onsite,,,,,,Counselors,Pittsburgh OP Facility,,team:Pittsburgh OP Facility | dept:Counselors | mode:hybrid_or_onsite,other,False,False,True,False,2026-03-10T10:10:26-04:00,2026-03-10T10:10:26-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/1pyra)mid_health&care/jobs/5056466008,
7580326003,Coordonateur∙rice de la localisation (allemand)-Localization Coordinator ( German),2k,greenhouse,"Montréal, Quebec, Canada",onsite,,,,,,Localization - 2K Publishing,"Montréal, Quebec, Canada",,"team:Montréal, Quebec, Canada | dept:Localization - 2K Publishing | mode:onsite",other,False,False,True,False,2026-03-06T11:35:01-05:00,2026-03-06T11:35:01-05:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/2k/jobs/7580326003,
7580322003,Coordonateur∙rice de la localisation (chinois simplifié)-Localization Coordinator (Simplified Chinese),2k,greenhouse,"Montréal, Quebec, Canada",onsite,,,,,,Localization - 2K Publishing,"Montréal, Quebec, Canada",,"team:Montréal, Quebec, Canada | dept:Localization - 2K Publishing | mode:onsite",other,False,False,True,False,2026-03-06T11:45:43-05:00,2026-03-06T11:45:43-05:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/2k/jobs/7580322003,
7596493003,Coordonateur∙rice de la localisation (chinois traditionnel)-Localization Coordinator ( Traditional Chinese),2k,greenhouse,"Montréal, Quebec, Canada",onsite,,,,,,Localization - 2K Vegas,"Montréal, Quebec, Canada",,"team:Montréal, Quebec, Canada | dept:Localization - 2K Vegas | mode:onsite",other,False,False,True,False,2026-03-06T11:47:20-05:00,2026-03-06T11:47:20-05:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/2k/jobs/7596493003,
7580320003,Coordonateur∙rice de la localisation (coréen) -Localization Coordinator ( Korean),2k,greenhouse,"Montréal, Quebec, Canada",onsite,,,,,,Localization - 2K Publishing,"Montréal, Quebec, Canada",,"team:Montréal, Quebec, Canada | dept:Localization - 2K Publishing | mode:onsite",other,False,False,True,False,2026-03-06T11:37:49-05:00,2026-03-06T11:37:49-05:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/2k/jobs/7580320003,
7586644003,Coordonateur∙rice de la localisation (japonais)-Localization Coordinator (Japanese),2k,greenhouse,"Montréal, Quebec, Canada",onsite,,,,,,Localization - 2K Publishing,"Montréal, Quebec, Canada",,"team:Montréal, Quebec, Canada | dept:Localization - 2K Publishing | mode:onsite",other,False,False,True,False,2026-03-06T11:36:38-05:00,2026-03-06T11:36:38-05:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/2k/jobs/7586644003,
7580318003,Coordonateur∙rice de la localisation (polonais)-Localization Coordinator (Polish),2k,greenhouse,"Montréal, Quebec, Canada",onsite,,,,,,Localization - 2K Publishing,"Montréal, Quebec, Canada",,"team:Montréal, Quebec, Canada | dept:Localization - 2K Publishing | mode:onsite",other,False,False,True,False,2026-03-06T11:38:37-05:00,2026-03-06T11:38:37-05:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/2k/jobs/7580318003,
7580314003,Coordonateur∙rice de la localisation (russe)-Localization Coordinator (Russian),2k,greenhouse,"Montréal, Quebec, Canada",onsite,,,,,,Localization - 2K Publishing,"Montréal, Quebec, Canada",,"team:Montréal, Quebec, Canada | dept:Localization - 2K Publishing | mode:onsite",other,False,False,True,False,2026-03-06T11:43:28-05:00,2026-03-06T11:43:28-05:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/2k/jobs/7580314003,
7607493003,"Manager, International Marketing, NBA 2K",2k,greenhouse,"London, England, United Kingdom",hybrid,,,,,,"Global Marketing Strategy, Core - 2K Publishing","London, England ",,"team:London, England | dept:Global Marketing Strategy, Core - 2K Pu... | mode:hybrid",business-operations,False,False,True,False,2026-03-11T07:41:23-04:00,2026-03-11T07:41:23-04:00,2026-03-12T20:32:59Z,2026-03-14T13:29:03Z,False,https://job-boards.greenhouse.io/2k/jobs/7607493003,
7653156003,"Sr Manager, Commercial Strategy & Operations - 2K Sports Lab",2k,greenhouse,"London, England, United Kingdom",hybrid,,,,,,Commercial Operations - 2K Publishing,"London, England ",,"team:London, England | dept:Commercial Operations - 2K Publishing | mode:hybrid",business-operations,False,False,True,False,2026-03-11T07:43:00-04:00,2026-03-11T07:43:00-04:00,2026-03-12T20:32:59Z,2026-03-14T13:29:03Z,False,https://job-boards.greenhouse.io/2k/jobs/7653156003,
8437064002,Curriculum Management Director,2u,greenhouse,Crystal City,remote,,,,,,Operations,Crystal City,,team:Crystal City | dept:Operations | mode:remote,business-operations,False,False,True,False,2026-03-11T09:54:43-04:00,2026-03-11T09:54:43-04:00,2026-03-12T20:32:59Z,2026-03-14T13:29:03Z,False,https://job-boards.greenhouse.io/2u/jobs/8437064002,
8433438002,Enterprise/Principal Architect – Digital Commerce & Experience Platforms,2u,greenhouse,Crystal City,remote,,,,,,Technology,Crystal City,,team:Crystal City | dept:Technology | mode:remote,engineering,True,False,True,False,2026-03-09T11:47:41-04:00,2026-03-09T11:47:41-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/2u/jobs/8433438002,
8448157002,Program Director,2u,greenhouse,"Cape Town, South Africa",hybrid_or_onsite,,,,,,Operations,"Cape Town, South Africa",,"team:Cape Town, South Africa | dept:Operations | mode:hybrid_or_onsite",business-operations,False,False,True,False,2026-03-10T11:40:30-04:00,2026-03-10T11:40:30-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/2u/jobs/8448157002,
8449701002,"VP, Business Development",2u,greenhouse,Crystal City; US Remote,remote,,,,,,Partnerships,Crystal City,,team:Crystal City | dept:Partnerships | mode:remote,program-management,False,False,True,False,2026-03-10T13:28:56-04:00,2026-03-10T13:28:56-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/2u/jobs/8449701002,
5d13320e-7756-4e27-8ea2-296104fca9f3,Website Software Engineer,360learning,lever,"Paris, Remote",remote,,,,,,Product & Engineering,Engineering,Full Time,team:Engineering | dept:Product & Engineering | mode:remote,product,True,False,True,False,2026-03-09T08:47:17Z,2026-03-09T08:47:17Z,2026-03-14T01:09:34Z,2026-03-14T13:29:03Z,False,https://jobs.lever.co/360learning/5d13320e-7756-4e27-8ea2-296104fca9f3,
8387809002,Architect (Azure/Profisee) - Strategy and Governance,3cloud,greenhouse,Remote - US,hybrid,,,,,,Strategy & Governance,USA,,team:USA | dept:Strategy & Governance | mode:hybrid,business-operations,False,False,True,False,2026-03-10T14:05:36-04:00,2026-03-10T14:05:36-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/3cloud/jobs/8387809002?gh_jid=8387809002,
8429950002,Architect - Analytics,3cloud,greenhouse,Remote - US,hybrid,,,,,,BI & Analytics,USA,,team:USA | dept:BI & Analytics | mode:hybrid,other,False,False,True,False,2026-03-10T14:05:09-04:00,2026-03-10T14:05:09-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/3cloud/jobs/8429950002?gh_jid=8429950002,
8422779002,Director - Healthcare Marketing,3cloud,greenhouse,Remote - US,remote,,,,,,Marketing,USA,,team:USA | dept:Marketing | mode:remote,other,False,False,True,False,2026-03-10T14:05:58-04:00,2026-03-10T14:05:58-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/3cloud/jobs/8422779002?gh_jid=8422779002,
8329879002,Senior Architect - Data & AI,3cloud,greenhouse,Remote - US,remote,,,,,,Data & Analytics Solutions,USA,,team:USA | dept:Data & Analytics Solutions | mode:remote,engineering,True,False,True,False,2026-03-10T14:07:55-04:00,2026-03-10T14:07:55-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/3cloud/jobs/8329879002?gh_jid=8329879002,
8229041002,Senior Cloud Strategy Architect - Data & Analytics,3cloud,greenhouse,Remote - US,remote,,,,,,Data & Analytics Solutions,USA,,team:USA | dept:Data & Analytics Solutions | mode:remote,business-operations,True,False,True,False,2026-03-10T14:09:30-04:00,2026-03-10T14:09:30-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/3cloud/jobs/8229041002?gh_jid=8229041002,
8421454002,Senior Specialist - Alliances,3cloud,greenhouse,Remote - US,remote,,,,,,Cloud Programs & Alliances,USA,,team:USA | dept:Cloud Programs & Alliances | mode:remote,other,False,False,True,False,2026-03-10T14:11:20-04:00,2026-03-10T14:11:20-04:00,2026-03-12T20:32:59Z,2026-03-14T13:29:03Z,False,https://job-boards.greenhouse.io/3cloud/jobs/8421454002?gh_jid=8421454002,
8448833002,Compiler Engineer,3redpartners,greenhouse,Chicago,remote,,,,,,Technology,Chicago,,team:Chicago | dept:Technology | mode:remote,other,False,False,True,False,2026-03-04T11:04:34-05:00,2026-03-04T11:04:34-05:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/3redpartners/jobs/8448833002,
5826403004,"Manager, Security Operations (SecOps)",66degrees,greenhouse,"Bengaluru, Pune",remote,,,,,,Information Technology,India,,team:India | dept:Information Technology | mode:remote,business-operations,True,False,True,False,2026-03-13T02:09:42-04:00,2026-03-13T02:09:42-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/66degrees/jobs/5826403004,
5822727004,Technical Instructional Designer,66degrees,greenhouse,"Bengaluru, Pune",hybrid_or_onsite,,,,,,Learning & Development,India,,team:India | dept:Learning & Development | mode:hybrid_or_onsite,program-management,True,False,True,True,2026-03-10T06:54:32-04:00,2026-03-10T06:54:32-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/66degrees/jobs/5822727004,
7472016,Business Development Representative - Enterprise,6sense,greenhouse,"Austin, Texas, United States | New York City, NY, United States",hybrid_or_onsite,,,,,,Marketing,"Austin, TX",,"team:Austin, TX | dept:Marketing | mode:hybrid_or_onsite",program-management,False,False,True,False,2026-03-03T15:54:30-05:00,2026-03-12T14:17:12-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://boards.greenhouse.io/6sense/jobs/7472016?gh_jid=7472016,
6414664,Commercial Account Executive,6sense,greenhouse,"Austin, Texas, United States",hybrid,,,,,,Sales,"United States, Remote",,"team:United States, Remote | dept:Sales | mode:hybrid",other,False,False,True,False,2026-03-02T16:52:51-05:00,2026-03-02T16:52:51-05:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://boards.greenhouse.io/6sense/jobs/6414664?gh_jid=6414664,
7674930,Inside Sales Representative,6sense,greenhouse,"London, England, United Kingdom",hybrid_or_onsite,,,,,,Marketing,"London, UK",,"team:London, UK | dept:Marketing | mode:hybrid_or_onsite",other,False,False,True,False,2026-03-05T14:48:37-05:00,2026-03-05T14:48:37-05:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://boards.greenhouse.io/6sense/jobs/7674930?gh_jid=7674930,
5636812,Principal Architect,6sense,greenhouse,"Bengaluru, Karnataka, India",hybrid_or_onsite,,,,,,Engineering,"India, Remote",,"team:India, Remote | dept:Engineering | mode:hybrid_or_onsite",engineering,True,False,True,False,2026-03-09T02:16:55-04:00,2026-03-09T02:16:55-04:00,2026-03-12T20:32:59Z,2026-03-14T13:29:03Z,False,https://boards.greenhouse.io/6sense/jobs/5636812?gh_jid=5636812,
7630100,Senior DevOps Engineer,6sense,greenhouse,"Bengaluru, Karnataka, India",hybrid_or_onsite,,,,,,Engineering,Bangalore,,team:Bangalore | dept:Engineering | mode:hybrid_or_onsite,engineering,True,False,True,False,2026-03-12T14:32:52-04:00,2026-03-12T14:32:52-04:00,2026-03-12T20:32:59Z,2026-03-14T13:29:03Z,False,https://boards.greenhouse.io/6sense/jobs/7630100?gh_jid=7630100,
7707006,Senior Software Engineer (Backend),6sense,greenhouse,"Bengaluru, Karnataka, India",hybrid_or_onsite,,,,,,Engineering,Bangalore,,team:Bangalore | dept:Engineering | mode:hybrid_or_onsite,engineering,True,False,True,False,2026-03-12T14:31:42-04:00,2026-03-12T14:31:42-04:00,2026-03-12T20:32:59Z,2026-03-14T13:29:03Z,False,https://boards.greenhouse.io/6sense/jobs/7707006?gh_jid=7707006,
7670170,Sr. Customer Success Operations Manager,6sense,greenhouse,"United States, Remote",hybrid,,,,,,Revenue COE,"Austin, TX",,"team:Austin, TX | dept:Revenue COE | mode:hybrid",business-operations,False,False,True,False,2026-03-09T10:44:25-04:00,2026-03-09T10:44:25-04:00,2026-03-12T20:32:59Z,2026-03-14T13:29:03Z,False,https://boards.greenhouse.io/6sense/jobs/7670170?gh_jid=7670170,
7656167,"Sr. Manager, Business Development",6sense,greenhouse,"Austin, Texas, United States",hybrid_or_onsite,,,,,,Marketing,"Austin, TX",,"team:Austin, TX | dept:Marketing | mode:hybrid_or_onsite",program-management,False,False,True,False,2026-03-10T03:02:06-04:00,2026-03-10T03:02:06-04:00,2026-03-12T20:32:59Z,2026-03-14T13:29:03Z,False,https://boards.greenhouse.io/6sense/jobs/7656167?gh_jid=7656167,
7702185,"Sr. Manager, Talent Development",6sense,greenhouse,"United States, Remote",remote,,,,,,People Team,"United States, Remote",,"team:United States, Remote | dept:People Team | mode:remote",program-management,False,False,True,True,2026-03-12T17:49:54-04:00,2026-03-12T17:49:54-04:00,2026-03-12T20:32:59Z,2026-03-14T13:29:03Z,False,https://boards.greenhouse.io/6sense/jobs/7702185?gh_jid=7702185,
7630112,Sr. Security Engineer - AppSec,6sense,greenhouse,"Bengaluru, Karnataka, India",hybrid_or_onsite,,,,,,Business Technology,Bangalore,,team:Bangalore | dept:Business Technology | mode:hybrid_or_onsite,other,True,False,True,False,2026-03-05T13:32:00-05:00,2026-03-05T13:32:00-05:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://boards.greenhouse.io/6sense/jobs/7630112?gh_jid=7630112,
7144892,"Sr. Security Engineer, AppSec (AI/ML Security)",6sense,greenhouse,"Bengaluru, Karnataka, India",hybrid_or_onsite,,,,,,Business Technology,Bangalore,,team:Bangalore | dept:Business Technology | mode:hybrid_or_onsite,other,True,False,True,False,2026-03-05T13:31:57-05:00,2026-03-05T13:31:57-05:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://boards.greenhouse.io/6sense/jobs/7144892?gh_jid=7144892,
7707011,Sr. Software Engineer (Backend),6sense,greenhouse,"Bengaluru, Karnataka, India",hybrid_or_onsite,,,,,,Engineering,Bangalore,,team:Bangalore | dept:Engineering | mode:hybrid_or_onsite,engineering,True,False,True,False,2026-03-12T14:20:02-04:00,2026-03-12T14:24:21-04:00,2026-03-14T01:09:34Z,2026-03-14T13:29:03Z,False,https://boards.greenhouse.io/6sense/jobs/7707011?gh_jid=7707011,
7100430,Staff Software Engineer (Backend),6sense,greenhouse,"Bengaluru, Karnataka, India",hybrid_or_onsite,,,,,,Engineering,Bangalore,,team:Bangalore | dept:Engineering | mode:hybrid_or_onsite,engineering,True,False,True,False,2026-03-12T13:32:01-04:00,2026-03-12T14:08:33-04:00,2026-03-12T20:32:59Z,2026-03-14T13:29:03Z,False,https://boards.greenhouse.io/6sense/jobs/7100430?gh_jid=7100430,
7706995,Staff Software Engineer (Frontend),6sense,greenhouse,"Bengaluru, Karnataka, India",hybrid_or_onsite,,,,,,Engineering,Bangalore,,team:Bangalore | dept:Engineering | mode:hybrid_or_onsite,engineering,True,False,True,False,2026-03-12T13:25:09-04:00,2026-03-12T13:25:09-04:00,2026-03-12T20:32:59Z,2026-03-14T13:29:03Z,False,https://boards.greenhouse.io/6sense/jobs/7706995?gh_jid=7706995,
8404233002,Applied AI Lead (P4518),8451,greenhouse,"Cincinnati, OH; Chicago, IL",hybrid_or_onsite,,,,,,Product & Design,"Chicago, IL",,"team:Chicago, IL | dept:Product & Design | mode:hybrid_or_onsite",product,False,False,True,False,2026-03-13T13:13:22-04:00,2026-03-13T13:13:22-04:00,2026-03-13T19:20:53Z,2026-03-14T13:29:03Z,False,https://job-boards.greenhouse.io/8451/jobs/8404233002,
8431255002,"Director, Sales and Client Success (P2706) (P4140)",8451,greenhouse,"Cincinnati, OH; Chicago, IL",onsite,,,,,,Advertising & Media,"Chicago, IL",,"team:Chicago, IL | dept:Advertising & Media | mode:onsite",other,False,False,True,False,2026-03-13T13:13:22-04:00,2026-03-13T13:13:22-04:00,2026-03-13T19:20:53Z,2026-03-14T13:29:03Z,False,https://job-boards.greenhouse.io/8451/jobs/8431255002,
8330407002,"Director, Software Engineering - Agentic Foundations (P4474)",8451,greenhouse,"Cincinnati, OH; Chicago, IL",remote,,,,,,Engineering,"Chicago, IL",,"team:Chicago, IL | dept:Engineering | mode:remote",engineering,True,False,True,False,2026-03-13T13:13:21-04:00,2026-03-13T13:13:21-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/8451/jobs/8330407002,
8401780002,Lead Product Manager- Data Platforms (P2507),8451,greenhouse,"Cincinnati, OH; Chicago, IL",hybrid_or_onsite,,,,,,Product & Design,"Chicago, IL",,"team:Chicago, IL | dept:Product & Design | mode:hybrid_or_onsite",product,True,False,True,False,2026-03-13T13:13:22-04:00,2026-03-13T13:13:22-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/8451/jobs/8401780002,
8332583002,"Lead Software Engineer (P4475, P4477)",8451,greenhouse,"Cincinnati, OH; Chicago, IL",remote,,,,,,Engineering,"Chicago, IL",,"team:Chicago, IL | dept:Engineering | mode:remote",engineering,True,False,True,False,2026-03-13T13:13:21-04:00,2026-03-13T13:13:21-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/8451/jobs/8332583002,
8462849002,Lead Technical Product Manager (P4552),8451,greenhouse,"Cincinnati, OH; Chicago, IL",hybrid_or_onsite,,,,,,Product & Design,"Chicago, IL",,"team:Chicago, IL | dept:Product & Design | mode:hybrid_or_onsite",product,True,False,True,False,2026-03-13T15:51:44-04:00,2026-03-13T15:51:44-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/8451/jobs/8462849002,
8330484002,Lead Technical Product Manager - Agent Platform (P4476),8451,greenhouse,"Cincinnati, OH; Chicago, IL",hybrid,,,,,,Product & Design,"Chicago, IL",,"team:Chicago, IL | dept:Product & Design | mode:hybrid",product,True,False,True,False,2026-03-13T13:13:21-04:00,2026-03-13T13:13:21-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://job-boards.greenhouse.io/8451/jobs/8330484002,
8414280002,Senior Data Scientist (P4528),8451,greenhouse,"Cincinnati, OH; Chicago, IL",hybrid_or_onsite,,,,,,Data Science ,"Chicago, IL",,"team:Chicago, IL | dept:Data Science | mode:hybrid_or_onsite",engineering,True,False,True,False,2026-03-13T13:13:22-04:00,2026-03-13T13:13:22-04:00,2026-03-13T19:20:53Z,2026-03-14T13:29:03Z,False,https://job-boards.greenhouse.io/8451/jobs/8414280002,
8219027002,Senior Sales Planning & Compensation Analyst (P2785),8451,greenhouse,"Cincinnati, OH",hybrid_or_onsite,,,,,,Corporate ,"Cincinnati, OH",,"team:Cincinnati, OH | dept:Corporate | mode:hybrid_or_onsite",other,False,False,True,False,2026-03-13T13:13:21-04:00,2026-03-13T13:13:21-04:00,2026-03-13T19:20:53Z,2026-03-14T13:29:03Z,False,https://job-boards.greenhouse.io/8451/jobs/8219027002,
7631742003,"Director, Automation and Process Optimization",abacusgroup,greenhouse,Remote in US,remote,,,,,,SW Dev & DevOps,Remote in US,,team:Remote in US | dept:SW Dev & DevOps | mode:remote,other,False,False,True,False,2026-03-02T11:25:12-05:00,2026-03-02T11:25:12-05:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://www.abacusgroupllc.com/careers/job-openings?gh_jid=7631742003,
7649806003,"Project Manager, Service Transition",abacusgroup,greenhouse,"Phoenix, Arizona, United States | Frisco, Texas, United States | Charlotte, North Carolina, United States",hybrid,,,,,,Service Transition,Dallas,,team:Dallas | dept:Service Transition | mode:hybrid,other,False,False,True,False,2026-03-02T15:44:13-05:00,2026-03-02T17:19:25-05:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://www.abacusgroupllc.com/careers/job-openings?gh_jid=7649806003,
7663133003,"Specialist, People Strategy",abacusgroup,greenhouse,"Atlanta, Georgia, United States",hybrid_or_onsite,,,,,,People Services,Atlanta,,team:Atlanta | dept:People Services | mode:hybrid_or_onsite,business-operations,False,False,True,False,2026-03-13T15:24:50-04:00,2026-03-13T15:24:50-04:00,2026-03-14T01:09:34Z,2026-03-14T13:29:03Z,False,https://www.abacusgroupllc.com/careers/job-openings?gh_jid=7663133003,
8438741002,Business Solution Manager,abacusinsights,greenhouse,"Pune, India",hybrid,,,,,,Client Solutions,"Pune, India",,"team:Pune, India | dept:Client Solutions | mode:hybrid",other,False,False,True,False,2026-03-09T16:32:48-04:00,2026-03-09T16:33:48-04:00,2026-03-14T13:29:03Z,2026-03-14T13:29:03Z,True,https://boards.greenhouse.io/abacusinsights/jobs/8438741002?gh_jid=8438741002,
