id,title,company,platform,location,work_mode,comp_min,comp_max,comp_currency,comp_interval,comp_text,department,team,employment_type,summary,job_function,is_technical,is_chief_of_staff,is_strategy_ops,is_learning_and_development,posted_at,updated_at,first_seen_at,last_seen_at,is_new,url,detail_chunk
8120254002,Chief of Staff - R&D,addepar1,greenhouse,"New York, NY",remote,,,,,,Engineering Executive Suite,"New York, NY",,"team:New York, NY | dept:Engineering Executive Suite | mode:remote",engineering,True,True,True,False,2026-03-11T14:22:13-04:00,2026-03-11T14:22:13-04:00,2026-03-12T16:31:05Z,2026-03-15T02:13:50Z,False,https://job-boards.greenhouse.io/addepar1/jobs/8120254002,
4841348007,"Chief of Staff, Air Dominance & Strike",andurilindustries,greenhouse,"Costa Mesa, California, United States",hybrid_or_onsite,,,,,,Air Dominance & Strike : Air Dominance & Strike Engineering : Chief Engineering,"Costa Mesa, CA (HQ)",,"team:Costa Mesa, CA (HQ) | dept:Air Dominance & Strike : Air Dominance... | mode:hybrid_or_onsite",engineering,True,True,True,False,2026-03-12T19:25:18-04:00,2026-03-12T19:25:18-04:00,2026-03-12T16:31:05Z,2026-03-15T02:13:50Z,False,https://boards.greenhouse.io/andurilindustries/jobs/4841348007?gh_jid=4841348007,
4740150007,"Chief of Staff, Design",andurilindustries,greenhouse,"Costa Mesa, California, United States",onsite,,,,,,Sales and Marketing : Design : Design,"Costa Mesa, CA (HQ)",,"team:Costa Mesa, CA (HQ) | dept:Sales and Marketing : Design : Design | mode:onsite",other,False,True,True,False,2026-03-12T19:25:18-04:00,2026-03-12T19:25:18-04:00,2026-03-12T16:31:05Z,2026-03-15T02:13:50Z,False,https://boards.greenhouse.io/andurilindustries/jobs/4740150007?gh_jid=4740150007,
5068434007,"Chief of Staff, Tactical Recon & Strike",andurilindustries,greenhouse,"Costa Mesa, California, United States",hybrid_or_onsite,,,,,,Tactical Recon & Strike,"Costa Mesa, CA (HQ)",,"team:Costa Mesa, CA (HQ) | dept:Tactical Recon & Strike | mode:hybrid_or_onsite",other,False,True,True,False,2026-03-12T19:25:18-04:00,2026-03-12T19:25:18-04:00,2026-03-12T16:31:05Z,2026-03-15T02:13:50Z,False,https://boards.greenhouse.io/andurilindustries/jobs/5068434007?gh_jid=5068434007,
5737836004,Chief of Staff,arine,greenhouse,"San Francisco, CA (Hybrid)",hybrid,160000.0,190000.0,USD,year,"$160,000-190,000/year",Office of the CEO,Arine HQ,,"team:Arine HQ | dept:Office of the CEO | mode:hybrid | comp:$160,000-190,000/year",other,False,True,True,False,2026-03-05T21:29:40-05:00,2026-03-05T21:29:40-05:00,2026-03-14T13:29:03Z,2026-03-15T02:13:50Z,False,https://job-boards.greenhouse.io/arine/jobs/5737836004,
035e4848-e32a-4b54-a3f6-e87bca54c180,Chief of Staff,arraylabs.io,lever,"Palo Alto, CA",onsite,180000.0,240000.0,USD,year,,,Management,Full-Time,team:Management | mode:onsite,other,False,True,True,False,2026-03-13T21:44:32Z,2026-03-13T21:44:32Z,2026-03-14T01:09:34Z,2026-03-15T02:13:50Z,False,https://jobs.lever.co/arraylabs.io/035e4848-e32a-4b54-a3f6-e87bca54c180,
4632063005,Technical Chief of Staff for ASIC Engineering,asteralabs,greenhouse,"San Jose, CA",hybrid_or_onsite,,,,,,ASIC Engineering,"San Jose, CA",,"team:San Jose, CA | dept:ASIC Engineering | mode:hybrid_or_onsite",engineering,True,True,True,False,2026-03-11T16:45:21-04:00,2026-03-11T16:45:21-04:00,2026-03-12T16:31:05Z,2026-03-15T02:13:50Z,False,https://job-boards.greenhouse.io/asteralabs/jobs/4632063005,
4980694007,Executive Leadership Program - Chief of Staff,banyansoftware,greenhouse,United States,hybrid_or_onsite,,,,,,Operating Partners,Remote - USA,,team:Remote - USA | dept:Operating Partners | mode:hybrid_or_onsite,other,False,True,True,False,2026-03-12T05:12:58-04:00,2026-03-12T05:12:58-04:00,2026-03-12T16:31:05Z,2026-03-15T02:13:50Z,False,https://job-boards.greenhouse.io/banyansoftware/jobs/4980694007,
5012912007,Executive Leadership Programme - Chief of Staff (Europe),banyansoftware,greenhouse,Denmark; Netherlands; Sweden,hybrid_or_onsite,,,,,,Executive Team,"Amsterdam, Netherlands",,"team:Amsterdam, Netherlands | dept:Executive Team | mode:hybrid_or_onsite",other,False,True,True,False,2026-03-12T05:12:58-04:00,2026-03-12T05:12:58-04:00,2026-03-12T16:31:05Z,2026-03-15T02:13:50Z,False,https://job-boards.greenhouse.io/banyansoftware/jobs/5012912007,
7621264003,Chief of Staff,blankstreet,greenhouse,New York City,hybrid_or_onsite,,,,,,Business Operations & Strategy,New York,,team:New York | dept:Business Operations & Strategy | mode:hybrid_or_onsite,business-operations,False,True,True,False,2026-03-06T12:44:49-05:00,2026-03-06T12:44:49-05:00,2026-03-14T13:29:03Z,2026-03-15T02:13:50Z,False,https://job-boards.greenhouse.io/blankstreet/jobs/7621264003,
5067375007,Chief of Staff to CEO of BridgeBio and GondolaBio,bridgebio,greenhouse,Palo Alto - 3160 Porter,hybrid,,,,,,Management,Palo Alto - 3160 Porter,,team:Palo Alto - 3160 Porter | dept:Management | mode:hybrid,other,False,True,True,False,2026-03-10T16:48:30-04:00,2026-03-10T16:48:30-04:00,2026-03-12T16:31:05Z,2026-03-15T02:13:50Z,False,https://job-boards.greenhouse.io/bridgebio/jobs/5067375007,
7649099003,Chief of Staff - Samlino Group,ceg,greenhouse,"Copenhagen, Denmark; Lisbon, Portugal | Lisbon, Portugal",onsite,,,,,,Management | Operations,Samlino Group,,team:Samlino Group | dept:Management | Operations | mode:onsite,business-operations,False,True,True,False,2026-03-02T11:27:03-05:00,2026-03-02T11:37:11-05:00,2026-03-14T13:29:03Z,2026-03-15T02:13:50Z,False,https://job-boards.greenhouse.io/ceg/jobs/7649099003,
4608965006,Chief of Staff,interfaceai,greenhouse,Palo-Alto (In-office),hybrid_or_onsite,,,,,,Office of the CEO,interface USA,,team:interface USA | dept:Office of the CEO | mode:hybrid_or_onsite,other,False,True,True,False,2026-03-13T14:51:13-04:00,2026-03-13T14:51:13-04:00,2026-03-12T16:31:06Z,2026-03-15T02:13:50Z,False,https://job-boards.greenhouse.io/interfaceai/jobs/4608965006,
8451225002,"Chief of Staff, Product & Operations",mavenclinic,greenhouse,"New York, New York, United States",hybrid,196000.0,196000.0,USD,year,"$196,000 per year",Product Management,New York,,"team:New York | dept:Product Management | mode:hybrid | comp:$196,000 per year",business-operations,False,True,True,False,2026-03-05T12:34:16-05:00,2026-03-05T12:34:16-05:00,2026-03-14T13:29:03Z,2026-03-15T02:13:50Z,False,https://job-boards.greenhouse.io/mavenclinic/jobs/8451225002,
5119052008,Chief of Staff,mochihealth,greenhouse,"San Francisco, CA",onsite,,,,,,People,Mochi HQ,,team:Mochi HQ | dept:People | mode:onsite,people-hr,False,True,True,False,2026-03-11T01:01:02-04:00,2026-03-11T01:01:02-04:00,2026-03-12T16:31:06Z,2026-03-15T02:13:50Z,False,https://job-boards.greenhouse.io/mochihealth/jobs/5119052008,
7600099,"Chief of Staff, Sales",stripe,greenhouse,SF,hybrid_or_onsite,,,,,,1170 GEO Sales HQ (NA),US,,team:US | dept:1170 GEO Sales HQ (NA) | mode:hybrid_or_onsite,other,False,True,True,False,2026-03-13T19:00:45-04:00,2026-03-13T19:00:45-04:00,2026-03-12T16:44:30Z,2026-03-15T02:13:50Z,False,https://stripe.com/jobs/search?gh_jid=7600099,
