id,title,company,platform,location,work_mode,comp_min,comp_max,comp_currency,comp_interval,comp_text,department,team,employment_type,summary,job_function,is_technical,is_chief_of_staff,is_strategy_ops,is_learning_and_development,posted_at,updated_at,first_seen_at,last_seen_at,is_new,url,detail_chunk
7695373,Workforce Planning & Analysis Manager,103644278,greenhouse,"New York, NY",hybrid_or_onsite,,,,,,People,US,,,people-hr,False,False,True,False,2026-03-09T11:47:10-04:00,2026-03-09T11:47:10-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/103644278/jobs/7695373,
7607493003,"Manager, International Marketing, NBA 2K",2k,greenhouse,"London, England, United Kingdom",hybrid,,,,,,"Global Marketing Strategy, Core - 2K Publishing","London, England ",,,business-operations,False,False,True,False,2026-03-11T07:41:23-04:00,2026-03-11T07:41:23-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/2k/jobs/7607493003,
7653156003,"Sr Manager, Commercial Strategy & Operations - 2K Sports Lab",2k,greenhouse,"London, England, United Kingdom",hybrid,,,,,,Commercial Operations - 2K Publishing,"London, England ",,,business-operations,False,False,True,False,2026-03-11T07:43:00-04:00,2026-03-11T07:43:00-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/2k/jobs/7653156003,
8437064002,Curriculum Management Director,2u,greenhouse,Crystal City,remote,,,,,,Operations,Crystal City,,,business-operations,False,False,True,False,2026-03-11T09:54:43-04:00,2026-03-11T09:54:43-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/2u/jobs/8437064002,
5d13320e-7756-4e27-8ea2-296104fca9f3,Website Software Engineer,360learning,lever,"Paris, Remote",remote,,,,,,Product & Engineering,Engineering,Full Time,,product,True,False,True,False,2026-03-09T08:47:17Z,2026-03-09T08:47:17Z,2026-03-14T01:09:34Z,2026-03-14T01:09:34Z,True,https://jobs.lever.co/360learning/5d13320e-7756-4e27-8ea2-296104fca9f3,
8421454002,Senior Specialist - Alliances ,3cloud,greenhouse,Remote - US,remote,,,,,,Cloud Programs & Alliances,USA,,,other,False,False,True,False,2026-03-10T14:11:20-04:00,2026-03-10T14:11:20-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/3cloud/jobs/8421454002?gh_jid=8421454002,
5636812,Principal Architect,6sense,greenhouse,"Bengaluru, Karnataka, India",hybrid_or_onsite,,,,,,Engineering,"India, Remote",,,engineering,True,False,True,False,2026-03-09T02:16:55-04:00,2026-03-09T02:16:55-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://boards.greenhouse.io/6sense/jobs/5636812?gh_jid=5636812,
7630100,Senior DevOps Engineer,6sense,greenhouse,"Bengaluru, Karnataka, India",hybrid_or_onsite,,,,,,Engineering,Bangalore,,,engineering,True,False,True,False,2026-03-12T14:32:52-04:00,2026-03-12T14:32:52-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://boards.greenhouse.io/6sense/jobs/7630100?gh_jid=7630100,
7707006,Senior Software Engineer (Backend),6sense,greenhouse,"Bengaluru, Karnataka, India",hybrid_or_onsite,,,,,,Engineering,Bangalore,,,engineering,True,False,True,False,2026-03-12T14:31:42-04:00,2026-03-12T14:31:42-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://boards.greenhouse.io/6sense/jobs/7707006?gh_jid=7707006,
7670170,Sr. Customer Success Operations Manager,6sense,greenhouse,"United States, Remote",hybrid,,,,,,Revenue COE,"Austin, TX",,,business-operations,False,False,True,False,2026-03-09T10:44:25-04:00,2026-03-09T10:44:25-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://boards.greenhouse.io/6sense/jobs/7670170?gh_jid=7670170,
7656167,"Sr. Manager, Business Development",6sense,greenhouse,"Austin, Texas, United States",hybrid_or_onsite,,,,,,Marketing,"Austin, TX",,,program-management,False,False,True,False,2026-03-10T03:02:06-04:00,2026-03-10T03:02:06-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://boards.greenhouse.io/6sense/jobs/7656167?gh_jid=7656167,
7702185,"Sr. Manager, Talent Development",6sense,greenhouse,"United States, Remote",remote,,,,,,People Team,"United States, Remote",,,program-management,False,False,True,True,2026-03-12T17:49:54-04:00,2026-03-12T17:49:54-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://boards.greenhouse.io/6sense/jobs/7702185?gh_jid=7702185,
7707011,Sr. Software Engineer (Backend),6sense,greenhouse,"Bengaluru, Karnataka, India",hybrid_or_onsite,,,,,,Engineering,Bangalore,,,engineering,True,False,True,False,2026-03-12T14:20:02-04:00,2026-03-12T14:24:21-04:00,2026-03-14T01:09:34Z,2026-03-14T01:09:34Z,True,https://boards.greenhouse.io/6sense/jobs/7707011?gh_jid=7707011,
7100430,Staff Software Engineer (Backend),6sense,greenhouse,"Bengaluru, Karnataka, India",hybrid_or_onsite,,,,,,Engineering,Bangalore,,,engineering,True,False,True,False,2026-03-12T13:32:01-04:00,2026-03-12T14:08:33-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://boards.greenhouse.io/6sense/jobs/7100430?gh_jid=7100430,
7706995,Staff Software Engineer (Frontend),6sense,greenhouse,"Bengaluru, Karnataka, India",hybrid_or_onsite,,,,,,Engineering,Bangalore,,,engineering,True,False,True,False,2026-03-12T13:25:09-04:00,2026-03-12T13:25:09-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://boards.greenhouse.io/6sense/jobs/7706995?gh_jid=7706995,
8404233002,Applied AI Lead (P4518),8451,greenhouse,"Cincinnati, OH; Chicago, IL",hybrid_or_onsite,,,,,,Product & Design,"Chicago, IL",,,product,False,False,True,False,2026-03-13T13:13:22-04:00,2026-03-13T13:13:22-04:00,2026-03-13T19:20:53Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/8451/jobs/8404233002,
8431255002,"Director, Sales and Client Success (P2706) (P4140) ",8451,greenhouse,"Cincinnati, OH; Chicago, IL",onsite,,,,,,Advertising & Media,"Chicago, IL",,,other,False,False,True,False,2026-03-13T13:13:22-04:00,2026-03-13T13:13:22-04:00,2026-03-13T19:20:53Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/8451/jobs/8431255002,
8414280002,Senior Data Scientist (P4528),8451,greenhouse,"Cincinnati, OH; Chicago, IL",hybrid_or_onsite,,,,,,Data Science ,"Chicago, IL",,,engineering,True,False,True,False,2026-03-13T13:13:22-04:00,2026-03-13T13:13:22-04:00,2026-03-13T19:20:53Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/8451/jobs/8414280002,
8219027002,Senior Sales Planning & Compensation Analyst (P2785),8451,greenhouse,"Cincinnati, OH",hybrid_or_onsite,,,,,,Corporate ,"Cincinnati, OH",,,other,False,False,True,False,2026-03-13T13:13:21-04:00,2026-03-13T13:13:21-04:00,2026-03-13T19:20:53Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/8451/jobs/8219027002,
7663133003,"Specialist, People Strategy",abacusgroup,greenhouse,"Atlanta, Georgia, United States",hybrid_or_onsite,,,,,,People Services,Atlanta,,,business-operations,False,False,True,False,2026-03-13T15:24:50-04:00,2026-03-13T15:24:50-04:00,2026-03-14T01:09:34Z,2026-03-14T01:09:34Z,True,https://www.abacusgroupllc.com/careers/job-openings?gh_jid=7663133003,
8222365002,Senior AI Engineer for XFORM (Automation),abacusinsights,greenhouse,"Pune, India",hybrid,,,,,,Engineering ,"Pune, India",,,engineering,True,False,True,False,2026-03-10T04:16:38-04:00,2026-03-10T04:16:38-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://boards.greenhouse.io/abacusinsights/jobs/8222365002?gh_jid=8222365002,
8222289002,Senior Software Engineer ,abacusinsights,greenhouse,"Pune, India",hybrid,,,,,,Engineering ,"Pune, India",,,engineering,True,False,True,False,2026-03-10T04:23:27-04:00,2026-03-10T04:23:27-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://boards.greenhouse.io/abacusinsights/jobs/8222289002?gh_jid=8222289002,
4799539101,Human Resources Engagement Partner,abbyy,greenhouse,"Remote, United States",hybrid,,,,,,Human Resources,United States,,,other,False,False,True,False,2026-03-12T01:02:11-04:00,2026-03-12T01:02:11-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.eu.greenhouse.io/abbyy/jobs/4799539101,
7658351003,Senior Accountant,abcellera,greenhouse,Vancouver,hybrid_or_onsite,,,,,,Finance,Vancouver,,,finance,False,False,True,False,2026-03-09T14:47:58-04:00,2026-03-09T14:47:58-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/abcellera/jobs/7658351003,
7508151,FP&A  Analyst,abodo,greenhouse,Remote,remote,,,,,,Finance + Accounting ,Rentable,,,finance,False,False,True,False,2026-03-11T01:02:39-04:00,2026-03-11T01:02:39-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/abodo/jobs/7508151,
8442616002,Business Effectiveness and Training (BET) Intern ,acadiapharmaceuticals,greenhouse,"San Diego, California, United States",hybrid,22.0,22.0,USD,hour,$22/hr,Commercial Operations & Business Optimization,"San Diego, California",,,business-operations,False,False,True,False,2026-03-10T12:56:45-04:00,2026-03-10T12:56:45-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://acadia.com/en-us/careers/job-board/8442616002?gh_jid=8442616002,
8396530002,"Executive Director, People Business Partner Lead",acadiapharmaceuticals,greenhouse,"San Diego, California, United States",hybrid,,,,,,People & Performance,"San Diego, California",,,people-hr,False,False,True,False,2026-03-07T16:50:18-05:00,2026-03-07T16:50:18-05:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://acadia.com/en-us/careers/job-board/8396530002?gh_jid=8396530002,
8442623002,Scientific Communications and Medical Information Intern,acadiapharmaceuticals,greenhouse,"San Diego, California, United States",hybrid,32.0,32.0,USD,hour,$32/hr,Medical Affairs,"San Diego, California",,,other,False,False,True,False,2026-03-10T12:33:50-04:00,2026-03-10T12:33:50-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://acadia.com/en-us/careers/job-board/8442623002?gh_jid=8442623002,
5849667003,24-25 Banning Lewis Ranch K-5 Teacher,accelschools,greenhouse,Banning Lewis Ranch Academy,hybrid_or_onsite,,,,,,,,,,other,False,False,True,False,2026-03-13T16:17:09-04:00,2026-03-13T16:17:09-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/accelschools/jobs/5849667003,
7663937003,Constellation Schools - Principal (Cleveland) SY 26-27,accelschools,greenhouse,Cleveland,hybrid,,,,,,School Administrative,Cleveland,,,other,False,False,True,False,2026-03-13T16:17:09-04:00,2026-03-13T16:17:09-04:00,2026-03-13T19:20:53Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/accelschools/jobs/7663937003,
7664157003,Director of Academics,accelschools,greenhouse,Mount Auburn Preparatory Academy,hybrid,60000.0,75000.0,USD,,"$60,000-75,000",School Support Services,Mount Auburn Preparatory Academy,,,other,False,False,True,False,2026-03-13T16:17:09-04:00,2026-03-13T16:17:09-04:00,2026-03-13T19:20:53Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/accelschools/jobs/7664157003,
7663366003,Head of School,accelschools,greenhouse,Trailhead Virtual Academy,hybrid,,,,,,School Administrative,Trailhead Virtual Academy,,,other,False,False,True,False,2026-03-13T16:17:09-04:00,2026-03-13T16:17:09-04:00,2026-03-13T01:04:34Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/accelschools/jobs/7663366003,
7655446003,Human Resources Business Partner,accelschools,greenhouse, Parma,hybrid,,,,,,HR,Parma,,,people-hr,False,False,True,False,2026-03-13T16:17:09-04:00,2026-03-13T16:17:09-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/accelschools/jobs/7655446003,
7638045003,NEO Upper - 9-12th Grade Principal,accelschools,greenhouse,Northeast Ohio College Preparatory School - High School Campus,hybrid,90000.0,120000.0,USD,,"$90,000 - 120,000",School Administrative,Northeast Ohio College Preparatory School - High School Campus,,,other,False,False,True,False,2026-03-13T16:17:09-04:00,2026-03-13T16:17:09-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/accelschools/jobs/7638045003,
7638044003,Neo Lower - K-8th Grade Principal,accelschools,greenhouse,Northeast Ohio College Preparatory School - Lower Campus,hybrid,75000.0,85000.0,USD,,"$75,000 - 85,000",School Administrative,Northeast Ohio College Preparatory School - Lower Campus,,,other,False,False,True,False,2026-03-13T16:17:09-04:00,2026-03-13T16:17:09-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/accelschools/jobs/7638044003,
7624259003,Principal,accelschools,greenhouse,Mosaic Classical Academy | Montgomery Preparatory Academy,hybrid,65000.0,90000.0,USD,,"$65,000-75,000 | $75,000 - 90,000",School Administrative,Mosaic Classical Academy | Montgomery Preparatory Academy,,,other,False,False,True,False,2026-03-13T16:17:09-04:00,2026-03-13T16:17:09-04:00,2026-03-13T19:20:53Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/accelschools/jobs/7624259003,
7624256003,Principal - SY 26-27,accelschools,greenhouse,North Bend STEM Academy | Portage Leadership Academy,hybrid,65000.0,90000.0,USD,,"$65,000-90,000",School Administrative,North Bend STEM Academy | Portage Leadership Academy,,,other,False,False,True,False,2026-03-13T16:17:09-04:00,2026-03-13T16:17:09-04:00,2026-03-14T01:09:34Z,2026-03-14T01:09:34Z,True,https://job-boards.greenhouse.io/accelschools/jobs/7624256003,
7651299003,Senior Accountant ,accelschools,greenhouse,"Tysons Corner, VA",remote,,,,,,Accounting,"Tysons Corner, VA",,,other,False,False,True,False,2026-03-13T16:17:09-04:00,2026-03-13T16:17:09-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/accelschools/jobs/7651299003,
4662535006,Accounts Receivable Billing Analyst,accenturefederalservices,greenhouse,"San Antonio, TX",hybrid_or_onsite,,,,,,52264470 - AFS - Business Operations,"San Antonio, TX",,,business-operations,False,False,True,False,2026-03-11T16:38:02-04:00,2026-03-11T16:38:02-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://boards.greenhouse.io/accenturefederalservices/jobs/4662535006?gh_jid=4662535006,
7689384,"Business Leader, Forensic Services ",accuweather,greenhouse,"State College, PA; Wichita, KS; or Remote",remote,,,,,,Forensics,Remote,,,other,False,False,True,False,2026-03-11T10:02:02-04:00,2026-03-11T10:02:02-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/accuweather/jobs/7689384,
7382874,aCommerceTheNextGen [2026],acommerce,greenhouse,"All Location; Bangkok, Thailand; Jakarta, Indonesia; Taguig, Philippines",hybrid_or_onsite,,,,,,Internship Program,Indonesia-Regional,,,other,False,False,True,False,2026-03-11T02:11:47-04:00,2026-03-11T02:11:47-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/acommerce/jobs/7382874,
8461208002," Forward Deployed (Echo) - Austin, TX ",acrisureinnovation,greenhouse,"Austin, TX",hybrid_or_onsite,,,,,,Engineering,Austin,,,engineering,True,False,True,False,2026-03-12T15:48:24-04:00,2026-03-12T15:48:24-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/acrisureinnovation/jobs/8461208002,
8461207002," Forward Deployed (Echo)- Atlanta, GA",acrisureinnovation,greenhouse,"Atlanta, GA",hybrid_or_onsite,,,,,,Engineering,Austin,,,engineering,True,False,True,False,2026-03-12T15:48:30-04:00,2026-03-12T15:48:30-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/acrisureinnovation/jobs/8461207002,
8462638002,Lead Product Manager,acrisureinnovation,greenhouse,"Austin, Texas",hybrid,,,,,,Product,Austin,,,product,False,False,True,False,2026-03-13T13:59:40-04:00,2026-03-13T13:59:40-04:00,2026-03-13T19:20:53Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/acrisureinnovation/jobs/8462638002,
8462642002,Senior Product Manager,acrisureinnovation,greenhouse,"Austin, Texas",hybrid,,,,,,Product,Austin,,,product,False,False,True,False,2026-03-13T14:01:11-04:00,2026-03-13T14:01:11-04:00,2026-03-13T19:20:53Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/acrisureinnovation/jobs/8462642002,
8120254002,Chief of Staff - R&D,addepar1,greenhouse,"New York, NY",remote,,,,,,Engineering Executive Suite,"New York, NY",,,engineering,True,True,True,False,2026-03-11T14:22:13-04:00,2026-03-11T14:22:13-04:00,2026-03-12T16:31:05Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/addepar1/jobs/8120254002,
8398628002,Executive Assistant,addepar1,greenhouse,"New York, NY",remote,,,,,,Sales Operations,United States,,,business-operations,False,False,True,False,2026-03-11T14:22:31-04:00,2026-03-11T14:22:31-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/addepar1/jobs/8398628002,
8394990002,"Manager, Employee Experience and Engagement",addepar1,greenhouse,"New York, NY",remote,,,,,,Talent & Org Development,"New York, NY",,,program-management,False,False,True,False,2026-03-11T14:22:31-04:00,2026-03-11T14:22:31-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/addepar1/jobs/8394990002,
8418733002,"Manager, Portfolio Data Operations",addepar1,greenhouse,"New York, NY",remote,,,,,,Data Operations,Remote - United States,,,business-operations,True,False,True,False,2026-03-11T14:22:32-04:00,2026-03-11T14:22:32-04:00,2026-03-12T20:32:59Z,2026-03-14T01:09:34Z,False,https://job-boards.greenhouse.io/addepar1/jobs/8418733002,
